CVE-ID,Summary,Provided Nodes,Provided cpe,Inferred cpe,Inferred Product Name,Inferred Nodes,Inferred Nodes Confidence,LLM generated condition string
CVE-2024-28854,"tls-listener is a rust lang wrapper around a connection listener to support TLS. With the default configuration of tls-listener, a malicious user can open 6.4 `TcpStream`s a second, sending 0 bytes, and can trigger a DoS. The default configuration options make any public service using `TlsListener::new()` vulnerable to a slow-loris DoS attack. This impacts any publicly accessible service using the default configuration of tls-listener in versions prior to 0.10.0. Users are advised to upgrade. Users unable to upgrade may mitigate this by passing a large value, such as `usize::MAX` as the parameter to `Builder::max_handshakes`.

",[],[],"[[""cpe:2.3:a:tls-listener:tls-listener:*:*:*:*:*:*:*:*""]]",tls-listener,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionEndIncluding': '0.10.0', 'cpe23Uri': 'cpe:2.3:a:tls-listener:tls-listener:*:*:*:*:*:*:*:*'}]}]",none,version < 0.10.0 && (max_handshakes < usize::MAX)
CVE-2024-28851,"The Snowflake Hive metastore connector provides an easy way to query Hive-managed data via Snowflake. Snowflake Hive MetaStore Connector has addressed a potential elevation of privilege vulnerability in a `helper script` for the Hive MetaStore Connector. A malicious insider without admin privileges could, in theory, use the script to download content from a Microsoft domain to the local system and replace the valid content with malicious code. If the attacker then also had local access to the same system where the maliciously modified script is run, they could attempt to manipulate users into executing the attacker-controlled helper script, potentially gaining elevated privileges to the local system. The vulnerability in the script was patched on February 09, 2024, without a version bump to the Connector. User who use the helper script are strongly advised to use the latest version as soon as possible. Users unable to upgrade should avoid using the helper script.",[],[],"[[""cpe:2.3:a:snowflake:hive_metastore_connector:*:*:*:*:*:*:*:*""]]",Snowflake Hive MetaStore Connector,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionStartIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:snowflake:hive_metastore_connector:*:*:*:*:*:*:*:*'}]}]",none,version >= 2024-02-09
CVE-2024-28252,"CoreWCF is a port of the service side of Windows Communication Foundation (WCF) to .NET Core. If you have a NetFraming based CoreWCF service, extra system resources could be consumed by connections being left established instead of closing or aborting them. There are two scenarios when this can happen. When a client established a connection to the service and sends no data, the service will wait indefinitely for the client to initiate the NetFraming session handshake. Additionally, once a client has established a session, if the client doesn't send any requests for the period of time configured in the binding ReceiveTimeout, the connection is not properly closed as part of the session being aborted. The bindings affected by this behavior are NetTcpBinding, NetNamedPipeBinding, and UnixDomainSocketBinding. Only NetTcpBinding has the ability to accept non local connections. The currently supported versions of CoreWCF are v1.4.x and v1.5.x. The fix can be found in v1.4.2 and v1.5.3 of the CoreWCF packages. Users are advised to upgrade. There are no workarounds for this issue.
",[],[],"[[""cpe:2.3:a:corewcf:corewcf:*:*:*:*:*:*:*:*""]]",CoreWCF,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionEndIncluding': '1.4.2', 'cpe23Uri': 'cpe:2.3:a:corewcf:corewcf:*:*:*:*:*:*:*:*'}]}]",none,version < 1.4.2 || version < 1.5.3
CVE-2023-7060,Zephyr OS IP packet handling does not properly drop IP packets arriving on an external interface with a source address equal to 127.0.01 or the destination address.,[],[],"[[""cpe:2.3:o:zephyrproject:zephyr:*:*:*:*:*:*:*:*""]]",Zephyr OS,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'medium', 'cpe23Uri': 'cpe:2.3:o:zephyrproject:zephyr:*:*:*:*:*:*:*:*'}]}]",medium,(source_address == '127.0.01' || destination_address == '127.0.01') && external_interface
CVE-2023-51699,"Fluid is an open source Kubernetes-native Distributed Dataset Orchestrator and Accelerator for data-intensive applications. An OS command injection vulnerability within the Fluid project's JuicefsRuntime can potentially allow an authenticated user, who has the authority to create or update the K8s CRD Dataset/JuicefsRuntime, to execute arbitrary OS commands within the juicefs related containers. This could lead to unauthorized access, modification or deletion of data. Users who're using versions < 0.9.3 with JuicefsRuntime should upgrade to v0.9.3.",[],[],"[[""cpe:2.3:a:fluid_project:fluid:-:*:*:*:*:*:*:*""]]",Fluid,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionEndIncluding': '0.9.3', 'cpe23Uri': 'cpe:2.3:a:fluid_project:fluid:-:*:*:*:*:*:*:*'}]}]",none,version < 0.9.3
CVE-2024-2537,Improper Control of Dynamically-Managed Code Resources vulnerability in Logitech Logi Tune on MacOS allows Local Code Inclusion.,[],[],"[[""cpe:2.3:a:logitech:logi_tune:*:*:*:*:*:*:*:*""]]",Logitech Logi Tune,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionEndIncluding': ""'unknown'"", 'cpe23Uri': 'cpe:2.3:a:logitech:logi_tune:*:*:*:*:*:*:*:*'}]}]",none,version < 'unknown'
CVE-2024-2193,A Speculative Race Condition (SRC) vulnerability that impacts modern CPU architectures supporting speculative execution (related to Spectre V1) has been disclosed. An unauthenticated attacker can exploit this vulnerability to disclose arbitrary data from the CPU using race conditions to access the speculative executable code paths.,[],[],"[[""cpe:2.3:h:intel:core_i3:*:*:*:*:*:*:*:*"", ""cpe:2.3:h:intel:core_i5:*:*:*:*:*:*:*:*"", ""cpe:2.3:h:intel:core_i7:*:*:*:*:*:*:*:*"", ""cpe:2.3:h:intel:core_i9:*:*:*:*:*:*:*:*"", ""cpe:2.3:h:amd:ryzen:*:*:*:*:*:*:*:*"", ""cpe:2.3:h:amd:ryzen:*:*:*:*:*:*:*:*"", ""cpe:2.3:h:amd:ryzen:*:*:*:*:*:*:*:*"", ""cpe:2.3:h:amd:ryzen:*:*:*:*:*:*:*:*""]]",Modern CPU architectures supporting speculative execution,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'cpe23Uri': 'cpe:2.3:h:intel:core_i3:*:*:*:*:*:*:*:*'}, {'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'cpe23Uri': 'cpe:2.3:h:intel:core_i5:*:*:*:*:*:*:*:*'}, {'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'cpe23Uri': 'cpe:2.3:h:intel:core_i7:*:*:*:*:*:*:*:*'}, {'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'cpe23Uri': 'cpe:2.3:h:intel:core_i9:*:*:*:*:*:*:*:*'}, {'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'medium', 'cpe23Uri': 'cpe:2.3:h:amd:ryzen:*:*:*:*:*:*:*:*'}, {'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'medium', 'cpe23Uri': 'cpe:2.3:h:amd:ryzen:*:*:*:*:*:*:*:*'}, {'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'medium', 'cpe23Uri': 'cpe:2.3:h:amd:ryzen:*:*:*:*:*:*:*:*'}, {'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'medium', 'cpe23Uri': 'cpe:2.3:h:amd:ryzen:*:*:*:*:*:*:*:*'}]}]",high,speculative_execution = true && race_condition = true
CVE-2024-2497,A vulnerability was found in RaspAP raspap-webgui 3.0.9 and classified as critical. This issue affects some unknown processing of the file includes/provider.php of the component HTTP POST Request Handler. The manipulation of the argument country leads to code injection. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-256919. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.,[],[],"[[""cpe:2.3:a:raspap:raspap:*:*:*:*:*:*:*:*""]]",RaspAP raspap-webgui,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'medium', 'versionEndIncluding': '3.0.9', 'cpe23Uri': 'cpe:2.3:a:raspap:raspap:*:*:*:*:*:*:*:*'}]}]",medium,version < 3.0.9
CVE-2024-28404,TOTOLINK X2000R before V1.0.0-B20231213.1013 contains a Stored Cross-site scripting (XSS) vulnerability in MAC Filtering under the Firewall Page.,[],[],"[[""cpe:2.3:h:totolink:x2000r:*:*:*:*:*:*:*:*""]]",TOTOLINK X2000R,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'versionEndIncluding': ""'1.0.0-B20231213.1013'"", 'cpe23Uri': 'cpe:2.3:h:totolink:x2000r:*:*:*:*:*:*:*:*'}]}]",high,version < '1.0.0-B20231213.1013'
CVE-2024-28401,TOTOLINK X2000R before v1.0.0-B20231213.1013 contains a Store Cross-site scripting (XSS) vulnerability in Root Access Control under the Wireless Page.,[],[],"[[""cpe:2.3:h:totolink:x2000r:*:*:*:*:*:*:*:*""]]",TOTOLINK X2000R,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'versionEndIncluding': ""'1.0.0-B20231213.1013'"", 'cpe23Uri': 'cpe:2.3:h:totolink:x2000r:*:*:*:*:*:*:*:*'}]}]",high,version < '1.0.0-B20231213.1013'
